Title,TopRecommendations
microsoft business analyst professional certificate,"['ibm business analyst professional certificate', 'sap business analyst professional certificate', 'generative ai business analyst specialization', 'business analytics excel elementary advanced', 'tableau business intelligence analyst professional certificate']"
data engineering foundation specialization,"['ibm data architecture professional certificate', 'ibm relational database administrator professional certificate', 'prepare data exploration', 'ibm data management professional certificate', 'ibm data warehouse engineer professional certificate']"
psychological first aid,"['primeros auxilios psicolgicos pap', 'influencing storytelling change management governance specialization', 'business health care specialization', 'nursing assistant fundamental specialization', 'microsoft cybersecurity analyst professional certificate']"
tableau business intelligence analyst professional certificate,"['ibm business intelligence bi analyst professional certificate', 'ibm data analytics excel r professional certificate', 'ibm data analyst professional certificate', 'google cloud data analytics professional certificate', 'ibm data science professional certificate']"
think like cfo specialization,"['introduction finance accounting specialization', 'foundation management specialization', 'introduction financial accounting', 'introduction corporate finance', 'business foundation specialization']"
meta react specialization,"['javascript programming react node mongodb specialization', 'cloud application development foundation specialization', 'meta web development fundamental specialization', 'meta fullstack developer specialization', 'meta frontend developer professional certificate']"
excel skill business specialization,"['microsoft excel professional certificate', 'chatgpt excel aienhanced data analysis insight specialization', 'ibm data analytics excel r professional certificate', 'data analysis visualization foundation specialization', 'data analysis presentation skill pwc approach specialization']"
business strategy specialization,"['ibm business analyst professional certificate', 'generative ai business analyst specialization', 'ibm darden digital strategy specialization', 'ibm ai foundation business specialization', 'strategic leadership management specialization']"
microsoft copilot leader specialization,"['generative ai leadership strategy specialization', 'master microsoft office power platform specialization', 'microsoft excel professional certificate', 'microsoft fundamental specialization', 'work smarter microsoft word']"
ibm scrum master professional certificate,"['ibm devops software engineering professional certificate', 'generative ai software developer specialization', 'agile development specialization', 'ibm program manager professional certificate', 'ibm project manager professional certificate']"
ibm data science professional certificate,"['ibm data analyst professional certificate', 'applied data science specialization', 'ibm data analytics excel r professional certificate', 'ibm business intelligence bi analyst professional certificate', 'introduction data science specialization']"
machine learning specialization,"['unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'ibm introduction machine learning specialization', 'advanced learning algorithm', 'supervised machine learning regression classification']"
crash course python,"['programming everybody getting started python', 'python data science ai development', 'python programming specialization', 'google automation python professional certificate', 'ai python beginner']"
graphic design specialization,"['adobe graphic designer professional certificate', 'google ux design professional certificate', 'adobe content creator professional certificate', 'generative ai sql database specialist chatgpt specialization', 'build wireframes lowfidelity prototype']"
ai agent developer specialization,"['ai agent agentic ai python powered generative ai specialization', 'ai agent java generative ai specialization', 'agentic ai ai agent leader specialization', 'generative ai automation specialization', 'generative ai software developer specialization']"
ibm product owner professional certificate,"['ibm product manager professional certificate', 'generative ai product owner specialization', 'ibm ai product manager professional certificate', 'product management certification specialization', 'microsoft ai product manager professional certificate']"
geographic information system gi specialization,"['tableau business intelligence analyst professional certificate', 'foundation data data everywhere', 'share data art visualization', 'data analysis visualization foundation specialization', 'applied data science specialization']"
human resource management hr people manager specialization,"['hrci human resource associate professional certificate', 'generative ai hr professional specialization', 'generative ai human resource hr professional specialization', 'leading people team specialization', 'business health care specialization']"
ibm generative ai engineering professional certificate,"['ibm ai engineering professional certificate', 'ibm deep learning pytorch kera tensorflow professional certificate', 'deep learning specialization', 'generative ai engineering llm specialization', 'ibm machine learning professional certificate']"
process data dirty clean,"['foundation data data everywhere', 'prepare data exploration', 'analyze data answer question', 'data analysis r programming', 'introduction data science specialization']"
foundation user experience ux design,"['start ux design process empathize define ideate', 'build wireframes lowfidelity prototype', 'google ux design professional certificate', 'meta android developer professional certificate', 'ibm uiux designer professional certificate']"
discover art prompting,"['start writing prompt like pro', 'google prompting essential specialization', 'use ai creative expert partner', 'design prompt everyday work task', 'prompt engineering educator specialization']"
ai python beginner,"['python data science ai development', 'programming everybody getting started python', 'crash course python', 'google automation python professional certificate', 'generative ai everyone']"
architecting google compute engine specialization,"['preparing google cloud certification cloud architect professional certificate', 'preparing google cloud certification cloud devops engineer professional certificate', 'preparing google cloud certification cloud developer professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'google cloud database engineer specialization']"
human anatomy medical terminology fundamental specialization,"['medical billing coding fundamental specialization', 'medical office procedure administration fundamental specialization', 'medical neuroscience', 'introductory human physiology', 'pharmacy technician fundamental specialization']"
project planning putting together,"['project execution running project', 'chatgpt project management leveraging ai success specialization', 'capstone applying project management real world', 'microsoft project management professional certificate', 'project initiation starting successful project']"
python data science ai development,"['ai python beginner', 'crash course python', 'python programming specialization', 'data analysis r programming', 'programming everybody getting started python']"
adp entrylevel payroll specialist professional certificate,"['intuit academy bookkeeping professional certificate', 'hrci human resource associate professional certificate', 'workday action series', 'regulatory compliance specialization', 'human resource management hr people manager specialization']"
hrci human resource associate professional certificate,"['human resource management hr people manager specialization', 'generative ai human resource hr professional specialization', 'generative ai hr professional specialization', 'adp entrylevel payroll specialist professional certificate', 'ibm program manager professional certificate']"
intuit academy bookkeeping professional certificate,"['bookkeeping basic', 'introduction financial accounting', 'introduction finance accounting specialization', 'adp entrylevel payroll specialist professional certificate', 'merger acquisition specialization']"
accelerate job search ai,"['prompt engineering chatgpt', 'maximize productivity ai tool', 'writing science', 'english career development', 'work smarter microsoft word']"
meta social medium marketing professional certificate,"['meta marketing analytics professional certificate', 'adobe marketing specialist professional certificate', 'like lead interact customer online', 'digital marketing specialization', 'meta data analyst professional certificate']"
data analysis visualization foundation specialization,"['ibm data analytics excel r professional certificate', 'ibm data analyst professional certificate', 'foundation data data everywhere', 'applied data science specialization', 'share data art visualization']"
ask question make datadriven decision,"['foundation data data everywhere', 'data analysis presentation skill pwc approach specialization', 'analyze data answer question', 'business analytics specialization', 'share data art visualization']"
financial engineering risk management specialization,"['financial market', 'preparatory certificate finance financial market specialization', 'business financial modeling specialization', 'introduction corporate finance', 'introduction financial accounting']"
preparing google cloud certification machine learning engineer professional certificate,"['machine learning google cloud specialization', 'deep learning specialization', 'ibm machine learning professional certificate', 'ibm ai engineering professional certificate', 'unsupervised learning recommenders reinforcement learning']"
ibm data engineering professional certificate,"['ibm data architecture professional certificate', 'ibm data warehouse engineer professional certificate', 'ibm data analyst professional certificate', 'ibm data science professional certificate', 'ibm relational database administrator professional certificate']"
management fashion luxury company,"['introduction marketing', 'brand management aligning business brand behaviour', 'like lead interact customer online', 'digital marketing specialization', 'adobe marketing specialist professional certificate']"
leadership skill,"['strategic leadership management specialization', 'generative ai leadership strategy specialization', 'career success specialization', 'generative ai fundamental specialization', 'agile development specialization']"
ibm program manager professional certificate,"['ibm project manager professional certificate', 'ibm project manager professional certificate', 'microsoft project management professional certificate', 'google project management professional certificate', 'generative ai program manager specialization']"
like lead interact customer online,"['attract engage customer digital marketing', 'adobe marketing specialist professional certificate', 'digital marketing specialization', 'generative ai digital marketing specialization', 'foundation digital marketing ecommerce']"
aws cloud technology consultant professional certificate,"['aws fundamental specialization', 'aws cloud support associate professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud architect professional certificate', 'aws cloud solution architect professional certificate']"
generative ai software development skill certificate,"['generative ai software developer specialization', 'ibm ai developer professional certificate', 'generative ai sql database specialist chatgpt specialization', 'generative ai engineering llm specialization', 'amazon junior software developer professional certificate']"
agile project management,"['foundation project management', 'agile development specialization', 'microsoft project management professional certificate', 'ibm product owner professional certificate', 'capstone applying project management real world']"
google advanced data analytics professional certificate,"['introduction statistic', 'data science fundamental python sql specialization', 'ibm machine learning professional certificate', 'meta data analyst professional certificate', 'tableau business intelligence analyst professional certificate']"
